User Code,Video Code,FD_mean,FD_std,FD_min,FD_1st,FD_median,FD_3rd,FD_max,SD_mean,SD_std,SD_min,SD_1st,SD_median,SD_3rd,SD_max,FR_mean,FR_std,FR_min,FR_1st,FR_median,FR_3rd,FR_max,SR_mean,SR_std,SR_min,SR_1st,SR_median,SR_3rd,SR_max,SV_mean,SV_std,SV_min,SV_1st,SV_median,SV_3rd,SV_max,SA_mean,SA_std,SA_min,SA_1st,SA_median,SA_3rd,SA_max,PD_mean,PD_std,PD_min,PD_1st,PD_median,PD_3rd,PD_max,total_survey,total_I/N,captivation,cap_I/N,dissociation,dis_I/N,comprehension,com_I/N,transportation,tra_I/N
18,3,465.9426523,968.8077615,67,167,233,416,8944,38.46388889,18.04324197,17,17,33,50,100,2.658064516,1.41622651,0,1,3,4,7,2.341935484,1.915211526,0,0,2,4,9,280.0713127,215.135582,34.75900592,142.6482077,225.7397556,331.8106215,1960.127669,12.31445158,11.24970684,1.065760702,4.992083276,8.846126407,14.93904145,66.56896719,0.906347671,0.604528085,-2.323232974,0.744267026,0.976767026,1.234267026,1.886767026,4.333333333,0,4.875,1,7,1,2.333333333,0,2.5,0
19,3,355.5094851,263.4278128,67,200,283,416,2798,30.94748359,15.99182491,17,17,33,50,83,3.219354839,1.064607529,1,3,3,4,7,2.967741935,1.572570709,0,2,3,4,8,318.2957651,158.5324684,53.76104192,204.0035203,288.7040883,399.5040161,995.4895392,10.35445479,7.811777995,1.272341932,5.024459509,7.999217379,13.17612942,49.77447696,-0.133845877,0.25752527,-1.423232974,-0.275732974,-0.098232974,0.034267026,0.426767026,5.466666667,1,5.75,1,7,1,6,1,2,0
20,3,336.1623037,305.7203616,67,167,250,400,2432,38.26339286,16.97418224,17,33,33,50,100,3.2,1.130452156,1,2,3,4,6,2.974193548,1.400131659,0,2,3,4,7,329.9834284,219.6371527,12.87083419,202.5051578,270.530385,381.2333222,2011.946919,13.25985288,10.62398435,0.218804181,6.18457017,10.22598196,16.77213431,73.7091096,0.680412188,0.368143513,-1.033232974,0.421767026,0.766767026,0.954267026,1.276767026,5.733333333,1,6.375,1,7,1,4.666666667,0,3.5,1
21,3,371.7881356,268.5416343,67,183,283,483,1532,37.16461916,15.37366843,17,33,33,50,83,3.012903226,1.081047452,1,2,3,4,6,2.690322581,1.307161801,0,2,3,4,6,260.0181567,181.9904243,46.75370881,164.193112,220.2621641,300.9130556,1705.163956,10.60237696,7.778129603,0.861123277,5.431054585,8.321050942,13.84011677,53.30643622,0.211193938,0.247029342,-1.179257674,0.078242326,0.240742326,0.360742326,0.735742326,4.266666667,0,3.5,0,7,1,6,1,2,0
22,3,387.9678363,466.30163,67,183,266,400,5380,34.39370079,15.20534401,17,17,33,50,83,3.04516129,1.26563949,1,2,3,4,6,2.522580645,1.509001062,0,2,2,3,8,330.4114437,224.6647473,53.61626864,193.2471191,279.8045305,391.7328329,1763.031373,11.56260565,8.51297658,0.911476567,5.508562986,9.070501709,15.1530937,48.05855346,0.22600039,0.266199682,-0.514257674,0.055742326,0.260742326,0.410742326,0.830742326,5.066666667,1,6.125,1,7,1,3,0,2,0
23,3,355.030303,316.5175,67,150,250,433,2132,34.41965974,19.57671562,17,17,33,50,117,3.109677419,1.142836196,1,2,3,4,7,3.522580645,2.46359331,0,2,3,5,13,276.7886864,172.9183754,29.79053547,170.4657666,244.4381808,341.2213175,1600.676378,11.70588009,9.517850777,0.506439103,4.582185801,9.509789587,15.66113653,66.80354381,0.126871358,0.301144758,-1.544257674,0.050742326,0.175742326,0.318242326,0.520742326,4.866666667,1,5.625,1,6.5,1,3.333333333,0,2.5,0
24,3,269.4005376,227.7662496,67,133,200,316,1482,28.52040816,16.51717143,17,17,17,33,117,3.04516129,1.354846689,0,2,3,4,7,5.116129032,3.488301114,0,2.5,4,7,17,323.061933,205.1116135,51.76452986,194.1564008,284.1767446,382.2684999,1599.205428,10.74403019,7.833770669,0.879997008,5.364311137,8.720695954,14.19562116,46.49816867,-0.419773804,0.533885286,-2.309257674,-0.649257674,-0.224257674,-0.046757674,0.230742326,4.2,0,5.125,1,6,1,2.333333333,0,1.5,0
25,3,299.5023364,222.9542176,67,150,241.5,400,1466,26.41515152,14.36148578,17,17,17,33,83,3.541935484,1.218039247,1,3,4,4,7,4.290322581,2.560863648,0,3,4,6,15,232.872026,157.0692119,34.03881142,128.8303465,202.4846559,286.7348274,1152.27189,7.40561078,6.278914267,0.632138082,2.647772176,5.587628486,10.01874086,31.15152302,0.728803235,0.262865601,-0.322487088,0.605012912,0.792512912,0.900012912,1.212512912,4.4,0,5.5,1,6.5,1,2.333333333,0,1,0
26,3,998.8965517,1192.365848,68,283,466,1449,6229,39.9704142,15.90126756,17,33,33,50,117,1.851612903,1.005139703,1,1,2,2,6,1.109677419,1.25132523,0,0,1,2,5,313.0577832,163.6971623,31.96890698,192.9160743,296.4436381,393.1472191,978.7022222,14.06906285,10.22097282,1.05497393,6.316936755,11.0294675,18.31989946,48.93511111,0.194641944,0.208335977,-0.847487088,0.087512912,0.227512912,0.327512912,0.567512912,4.6,1,5,1,6,1,3,0,4,1
27,3,489.1493056,441.7583278,67,217,350,554,2948,30.62229102,16.30245185,17,17,33,33,100,2.696774194,1.095292131,1,2,3,3.5,6,2.122580645,1.33063545,0,1,2,3,5,340.1652724,221.344181,73.34034779,211.3816894,277.2712069,398.5789579,1479.042144,9.723653579,6.811166296,1.246785912,4.961501267,7.531000028,12.4210283,50.08695717,0.746480654,0.322815685,-0.262487088,0.540012912,0.762512912,1.025012912,1.357512912,5.266666667,1,5.625,1,5.5,0,4.333333333,0,5,1
